50,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,25,CROOKS Jordan,2002,16,Cayman Islands,23.88,671,867
51,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,26,LEGBAND Kai E,2000,18,Bermuda,23.96,664,828
52,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,27,COHEN GROUMI Gal,2002,16,Israel,23.97,663,859
53,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,28,OKHOTINSKIY Alen,2001,17,Kazakhstan,24.08,654,819
54,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,29,BASTIAN Izaak Z,2001,17,Bahamas,24.13,650,815
55,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,30,KIRBY Jack,2000,18,Barbados,24.14,649,812
56,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,31,PUENTE BUSTAMANTE Andres Eduardo,2001,17,Mexico,24.18,646,811
57,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,32,UMUROV Akhmadjon,2000,18,Uzbekistan,24.29,637,800
58,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,33,SPITERI Rudi,2002,16,Malta,24.35,633,827
59,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,33,VALDIVIESO Martin Ignacio,2000,18,Chile,24.35,633,794
60,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,35,SEMIDETNOV Ivan,2001,17,Moldova,24.39,630,793
61,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,36,DANG Ethan V,2002,16,United States,24.55,617,810
62,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,37,FELIX Delron,2000,18,Grenada,24.77,601,759
63,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,38,TAMAGNINI Raffaele,2001,17,San Marino,24.87,594,752
64,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,39,OHUAFI Finau,2001,17,Tonga,25.54,548,697
65,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,40,QUMSIEH Andrew,2003,15,Palestine,26.58,486,678
66,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,41,MOANI Ismat,2003,15,Sudan,27.07,460,640
67,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,42,MACPHERSON Murray,2002,16,Malawi,27.50,439,572
68,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,43,IBRAHIM Mubal Azzam,2000,18,Maldives,27.51,439,537
69,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,44,FAYEZ Shihab Alaa Din Rizq,2002,16,Oman,27.55,437,568
70,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,45,ALSHAMROUKH Sauod,2003,15,Kuwait,27.57,436,601
71,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,46,POEUVPICHRA Bunna,2002,16,Cambodia,28.11,411,525
72,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,47,WYSE Joshua Jonathan Julius,2001,17,Sierra Leone,28.57,392,458
73,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,48,RANIS Daniel,2001,17,Marshall Islands,29.21,366,411
74,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,49,SAINE Momodou,2000,18,Gambia,30.97,307,285
75,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,50,AMBONGUILAT Tarann,2003,15,Gabon,31.53,291,315
